time,open,high,low,close,volume
1570348800,7959.39,7960.0,7859.03,7937.72,6068.653
1570363200,7935.35,8045.51,7861.0,7995.98,7743.64
1570377600,7995.98,8012.27,7760.0,7887.04,6016.122000000002
1570392000,7885.27,7919.01,7798.94,7852.79,6947.008999999998
1570406400,7851.01,7900.95,7764.42,7859.27,10448.122
1570420800,7859.46,7876.0,7796.54,7862.0,5973.937
1570435200,7862.0,8225.0,7862.0,7975.99,12954.723000000009
1570449600,7975.51,8330.0,7975.2,8174.58,15681.018
1570464000,8173.58,8307.22,8133.52,8208.75,11153.722999999994
1570478400,8208.75,8249.89,8175.0,8186.88,6548.776
1570492800,8188.55,8322.01,8188.04,8255.9,8019.168000000001
1570507200,8257.01,8284.78,8195.0,8206.24,6662.867000000003
1570521600,8206.24,8207.85,8132.27,8177.48,8823.763999999997
1570536000,8176.64,8242.52,8132.0,8182.46,8339.492999999999
1570550400,8183.46,8206.0,8157.05,8163.54,5911.832999999994
1570564800,8165.06,8206.0,8103.88,8167.62,6958.040000000002
1570579200,8168.33,8198.0,8117.98,8119.11,6526.720000000003
1570593600,8119.11,8193.17,8113.0,8177.4,5729.722999999999
1570608000,8173.72,8236.15,8154.34,8183.32,7343.2970000000005
1570622400,8183.32,8700.0,8159.77,8550.09,23301.533000000007
1570636800,8549.48,8665.0,8490.9,8576.37,13597.47200000001
1570651200,8578.6,8609.35,8518.32,8559.77,8954.898000000005
1570665600,8559.77,8589.21,8495.7,8541.12,6800.023
1570680000,8541.74,8640.89,8530.5,8611.27,5725.803000000001
1570694400,8611.75,8619.51,8465.84,8524.63,9330.957999999995
1570708800,8524.66,8553.99,8419.34,8536.08,9584.298000000003
1570723200,8536.03,8570.18,8482.48,8552.62,5926.386000000004
1570737600,8552.5,8587.24,8517.61,8556.02,6918.2
1570752000,8557.0,8569.0,8475.46,8551.26,7046.685000000005
1570766400,8551.69,8788.0,8332.6,8385.26,28895.823
1570780800,8384.6,8386.61,8280.0,8295.88,10169.184999999998
1570795200,8295.74,8357.3,8268.51,8341.0,7700.058000000004
1570809600,8341.0,8369.99,8277.37,8340.96,8278.607000000002
1570824000,8341.64,8350.0,8210.0,8255.58,7067.605999999999
1570838400,8255.54,8327.91,8248.34,8306.56,5899.599999999997
1570852800,8307.01,8356.0,8303.0,8336.35,5885.2660000000005
1570867200,8336.33,8366.79,8289.26,8319.75,5674.466000000004
1570881600,8319.74,8397.45,8304.7,8368.79,7058.379999999998
1570896000,8368.94,8395.0,8290.5,8307.99,6912.628999999995
1570910400,8307.99,8343.65,8292.0,8300.22,6331.173000000002
1570924800,8300.31,8360.0,8277.32,8336.51,5762.460000000005
1570939200,8336.51,8354.11,8307.2,8319.36,4445.2480000000005
1570953600,8318.76,8378.19,8316.06,8345.14,4706.923999999999
1570968000,8345.14,8440.0,8342.55,8401.39,9107.409
1570982400,8401.39,8456.0,8397.65,8430.0,6084.667999999998
1570996800,8430.0,8430.0,8137.3,8274.66,13714.204000000003
1571011200,8274.33,8300.22,8243.87,8286.51,5335.288999999999
1571025600,8286.62,8329.38,8272.0,8302.17,5563.9850000000015
1571040000,8302.13,8320.5,8276.01,8279.61,6000.199000000004
1571054400,8277.61,8285.95,8241.19,8251.5,9058.467000000004
1571068800,8252.34,8381.77,8205.02,8327.16,24555.183999999987
1571083200,8327.16,8347.55,8251.16,8346.05,11486.696999999993
1571097600,8346.31,8408.62,8311.0,8313.69,6968.146000000003
1571112000,8313.96,8338.45,8272.0,8279.74,7972.723000000005
1571126400,8278.14,8320.15,8258.33,8294.5,12142.966999999995
1571140800,8294.23,8378.51,8235.0,8316.18,22332.845999999998
1571155200,8316.16,8321.4,8080.0,8177.46,26600.795000000002
1571169600,8177.5,8182.05,8131.03,8160.01,10229.272
1571184000,8160.55,8184.0,8140.0,8167.82,7614.084000000001
1571198400,8167.38,8177.02,8119.48,8140.12,7005.305000000001
1571212800,8135.0,8166.51,8010.64,8060.33,16910.442000000003
1571227200,8060.33,8060.33,7900.24,7955.01,18761.384000000024
1571241600,7952.23,8022.98,7901.01,7957.06,12278.651000000005
1571256000,7958.4,8020.38,7957.2,7992.21,7864.5859999999975
1571270400,7994.76,7998.14,7956.88,7968.12,7907.287999999997
1571284800,7967.65,7989.0,7930.0,7975.38,9659.490000000003
1571299200,7975.0,8119.0,7971.91,8066.01,15990.538999999999
1571313600,8066.01,8090.46,8015.23,8070.86,8887.671999999997
1571328000,8069.84,8124.63,8042.64,8060.02,9288.448999999995
1571342400,8061.51,8075.38,8036.93,8069.2,6621.163999999999
1571356800,8069.41,8117.3,8051.07,8064.97,7207.572999999997
1571371200,8064.17,8072.02,7821.01,7909.6,18454.657999999992
1571385600,7909.6,7937.66,7812.0,7921.6,12546.343
1571400000,7920.65,7970.63,7880.1,7919.13,10660.660000000002
1571414400,7916.23,7984.0,7906.22,7942.18,14902.279999999988
1571428800,7942.18,7977.44,7915.25,7943.94,11479.837999999998
1571443200,7945.57,7957.0,7892.85,7938.73,11509.472000000002
1571457600,7938.92,7955.0,7915.36,7929.18,7745.3209999999945
1571472000,7929.18,8011.0,7920.0,7943.74,10993.109999999995
1571486400,7943.74,8108.54,7852.12,7991.31,21601.14400000002
1571500800,7994.1,7999.28,7950.0,7973.66,13216.265000000007
1571515200,7973.75,7980.04,7883.14,7947.13,12959.082999999995
1571529600,7947.78,7951.57,7871.17,7902.85,15448.598000000007
1571544000,7904.43,7937.9,7900.0,7907.94,8204.837999999994
1571558400,7906.94,7980.0,7890.0,7942.39,10424.387000000004
1571572800,7942.39,8041.19,7937.15,8022.28,13303.472999999996
1571587200,8023.35,8234.01,8007.0,8229.17,16283.102000000004
1571601600,8230.33,8300.5,8165.0,8218.23,14999.516999999996
1571616000,8218.23,8255.1,8178.0,8218.45,7042.118000000004
1571630400,8218.01,8246.31,8203.88,8220.11,6522.6219999999985
1571644800,8220.03,8284.38,8190.0,8231.89,11990.118999999992
1571659200,8231.89,8334.57,8160.0,8192.02,16576.131
1571673600,8193.0,8198.34,8150.0,8184.65,9264.874999999998
1571688000,8184.27,8234.5,8180.0,8201.74,8532.651000000005
1571702400,8201.0,8210.0,8164.78,8205.64,9929.239000000007
1571716800,8205.64,8229.32,8188.74,8210.0,8433.899000000003
1571731200,8210.72,8283.69,8210.72,8276.18,12248.970999999994
1571745600,8275.04,8290.0,8165.0,8212.37,13401.746000000003
1571760000,8212.74,8219.75,8160.0,8167.38,8891.045999999997
1571774400,8169.98,8170.08,8000.0,8020.89,16601.978999999996
1571788800,8020.68,8047.78,7937.0,7953.2,11205.812999999995
1571803200,7954.51,7982.0,7917.11,7959.35,9507.145999999993
1571817600,7959.35,8017.5,7949.45,7964.7,8477.131999999994
1571832000,7965.67,7965.78,7402.0,7420.87,46064.70000000001
1571846400,7425.0,7532.0,7172.76,7479.05,21711.451999999987
1571860800,7480.0,7494.79,7387.66,7465.0,11517.896
1571875200,7465.18,7494.08,7395.01,7408.07,11513.365000000005
1571889600,7408.07,7434.13,7337.44,7418.29,12922.142000000003
1571904000,7417.23,7468.0,7388.92,7419.0,11697.907999999992
1571918400,7419.01,7495.81,7408.09,7432.91,14028.823999999991
1571932800,7433.27,7467.0,7421.71,7466.96,9553.989000000001
