time,open,high,low,close,volume
1568574000,10288.59,10294.03,10284.0,10286.49,430.6600000000001
1568575800,10285.88,10304.86,10280.14,10294.68,413.71399999999994
1568577600,10294.46,10310.95,10280.0,10286.22,409.45400000000006
1568579400,10284.83,10286.78,10265.32,10269.31,370.953
1568581200,10271.19,10303.05,10266.13,10302.07,429.591
1568583000,10301.29,10304.56,10284.07,10289.03,404.535
1568584800,10289.03,10316.45,10288.49,10299.51,465.398
1568586600,10298.11,10305.07,10281.95,10296.55,419.673
1568588400,10296.6,10313.52,10295.02,10310.11,425.6819999999999
1568590200,10311.79,10313.67,10294.21,10302.22,442.77799999999996
1568592000,10302.0,10344.73,10300.36,10316.62,487.27799999999996
1568593800,10313.98,10342.69,10308.06,10327.7,407.3449999999999
1568595600,10330.5,10350.02,10330.0,10341.19,450.421
1568597400,10342.32,10353.81,10330.26,10338.57,403.0370000000001
1568599200,10339.6,10343.86,10325.03,10340.79,410.62100000000004
1568601000,10340.8,10349.88,10330.21,10340.62,397.03600000000006
1568602800,10339.23,10353.79,10315.0,10315.0,484.7300000000001
1568604600,10307.73,10317.02,10300.0,10300.07,450.32000000000005
1568606400,10300.24,10319.51,10300.0,10300.42,407.14799999999997
1568608200,10301.35,10319.08,10296.25,10317.29,384.5360000000002
1568610000,10316.62,10325.0,10311.53,10320.06,377.40800000000013
1568611800,10320.12,10322.68,10311.81,10312.37,367.6259999999999
1568613600,10312.17,10312.17,10286.62,10295.83,380.628
1568615400,10295.46,10308.07,10291.07,10303.1,424.448
1568617200,10303.21,10303.45,10279.69,10293.04,407.36899999999997
1568619000,10294.06,10305.07,10285.83,10302.3,382.49899999999997
1568620800,10301.95,10310.0,10296.28,10307.19,393.6139999999999
1568622600,10307.6,10316.71,10289.04,10291.68,375.939
1568624400,10291.68,10305.52,10282.97,10303.0,363.16
1568626200,10303.0,10315.99,10292.7,10302.35,381.254
1568628000,10302.87,10305.21,10291.64,10293.7,390.231
1568629800,10293.07,10309.77,10292.34,10305.21,385.474
1568631600,10307.08,10307.08,10297.14,10303.37,429.521
1568633400,10303.52,10306.57,10275.74,10282.74,393.43
1568635200,10282.03,10282.03,10134.46,10163.52,676.6180000000002
1568637000,10165.25,10173.34,10138.0,10147.09,529.103
1568638800,10148.37,10180.0,10126.0,10166.86,477.101
1568640600,10165.62,10166.07,10125.7,10148.74,387.24499999999995
1568642400,10150.25,10160.06,10115.0,10151.97,342.9659999999999
1568644200,10151.97,10166.91,10134.38,10136.64,341.218
1568646000,10138.09,10162.03,10125.55,10153.15,462.35399999999987
1568647800,10153.1,10156.01,10119.37,10120.07,332.273
1568649600,10117.4,10150.81,10080.7,10143.05,520.1120000000001
1568651400,10142.91,10160.39,10137.15,10144.27,400.408
1568653200,10144.26,10158.53,10144.26,10150.73,367.8959999999999
1568655000,10150.57,10152.54,10133.86,10144.73,438.7920000000001
1568656800,10144.35,10150.5,10130.61,10130.87,376.76300000000003
1568658600,10130.79,10135.65,10115.7,10128.95,435.7839999999999
1568660400,10129.13,10142.07,10121.47,10123.55,451.264
1568662200,10123.38,10131.61,10121.99,10124.17,428.03800000000007
1568664000,10120.37,10162.0,10119.29,10155.68,416.68899999999985
